,fname,pix_class
0,image57432,0
1,image45053,12
2,image26822,11
3,image67349,12
4,image75728,9
5,image8964,12
6,image39049,11
7,image1642,16
8,image71404,0
9,image52214,4
10,image35949,13
11,image74222,8
12,image66643,1
13,image46339,13
14,image6604,4
15,image28742,0
16,image50474,0
17,image2528,1
18,image21864,11
19,image68923,7
20,image3022,1
21,image61605,16
22,image73264,17
23,image19533,14
24,image47633,12
25,image65529,7
26,image53666,13
27,image39131,0
28,image21085,2
29,image56040,1
30,image44421,15
31,image13807,7
32,image62417,13
33,image8185,3
34,image63884,15
35,image2450,0
36,image72616,4
37,image18141,2
38,image46241,3
39,image14841,15
40,image4885,1
41,image77030,0
42,image7276,16
43,image65451,1
44,image51006,4
45,image50464,5
46,image42005,2
47,image18029,17
48,image22287,16
49,image2538,17
50,image54748,3
51,image46329,11
52,image76452,15
53,image55242,11
54,image14929,16
55,image68933,7
56,image19523,12
57,image70887,0
58,image3032,8
59,image71414,5
60,image1652,11
61,image63075,17
62,image67359,16
63,image44549,7
64,image4074,3
65,image66653,9
66,image74232,0
67,image38553,17
68,image54630,12
69,image8195,10
70,image12484,3
71,image18151,7
72,image72606,7
73,image60267,10
74,image51016,11
75,image29320,8
76,image31294,4
77,image14851,0
78,image4895,11
79,image7266,1
80,image67221,7
81,image75640,16
82,image53676,0
83,image41217,0
84,image21095,1
85,image70066,1
86,image62407,11
87,image44431,0
88,image35821,11
89,image71251,4
90,image63630,11
91,image25484,4
92,image45606,12
93,image54894,4
94,image4631,9
95,image66016,15
96,image74477,4
97,image58194,8
98,image23851,11
99,image38316,0
100,image52441,1
101,image40020,9
102,image42640,15
103,image28117,16
104,image35685,0
105,image55407,3
106,image73431,0
107,image3677,3
108,image61050,7
109,image5243,9
110,image75005,0
111,image16874,2
112,image39764,15
113,image53033,8
114,image41452,1
115,image70623,5
116,image62242,17
117,image23929,17
118,image68797,4
119,image52539,13
120,image36497,0
121,image44274,4
122,image37804,4
123,image6129,1
124,image46414,8
125,image54075,2
126,image18714,15
127,image60422,2
128,image78596,1
129,image42738,16
130,image50359,15
131,image61128,12
132,image58975,4
133,image73549,16
134,image76207,13
135,image6041,0
136,image48385,3
137,image28107,17
138,image42650,0
139,image3667,16
140,image61040,11
141,image73421,5
142,image55417,11
143,image47076,8
144,image54884,2
145,image1007,15
146,image63620,0
147,image58184,0
148,image40030,12
149,image74467,16
150,image4621,1
151,image66006,1
152,image60432,12
153,image72053,13
154,image78586,1
155,image6139,2
156,image7433,5
157,image65214,9
158,image58965,1
159,image43222,12
160,image30852,12
161,image71339,1
162,image36487,11
163,image56605,1
164,image44264,17
165,image47897,16
166,image62252,0
167,image68787,3
168,image79915,2
169,image40148,14
170,image55761,4
171,image27182,9
172,image19000,4
173,image73757,2
174,image3511,15
175,image78788,16
176,image42526,16
177,image33936,2
178,image57898,13
179,image15900,4
180,image6337,15
181,image64510,15
182,image14593,13
183,image4557,13
184,image66370,2
185,image74711,3
186,image38070,12
187,image69083,5
188,image1371,1
189,image63556,9
190,image2982,2
191,image15099,7
192,image34970,16
193,image43154,1
194,image20925,2
195,image49481,5
196,image55619,4
197,image17781,2
198,image7745,4
199,image77503,17
200,image46772,13
201,image54313,13
202,image15878,16
203,image34191,1
204,image69862,16
205,image18472,15
206,image72325,13
207,image2163,0
208,image9825,1
209,image70545,11
210,image62124,12
211,image44112,0
212,image74669,8
213,image27963,17
214,image45418,0
215,image5125,6
216,image75363,16
217,image39402,4
218,image53355,8
219,image41734,4
220,image48812,0
221,image1209,17
222,image68599,12
223,image19989,3
224,image14583,1
225,image36699,16
226,image74701,1
227,image65993,0
228,image45570,4
229,image15089,0
230,image69093,0
231,image12956,11
232,image3501,16
233,image61326,4
234,image19010,9
235,image47310,4
236,image27192,5
237,image76161,5
238,image28261,2
239,image50157,3
240,image44102,8
241,image66218,1
242,image74679,13
243,image9835,11
244,image62134,5
245,image70555,3
246,image59690,4
247,image48802,9
248,image1219,4
249,image34818,1
250,image934,4
251,image67712,5
252,image76980,9
253,image17791,17
254,image47268,11
255,image38881,11
256,image43144,2
257,image3479,4
258,image19168,13
259,image28319,16
260,image72335,3
261,image18462,16
262,image46762,15
263,image64478,9
264,image76019,4
265,image61563,16
266,image73102,17
267,image10973,3
268,image13380,15
269,image51218,11
270,image43679,12
271,image9691,2
272,image7068,17
273,image55134,11
274,image47555,12
275,image76724,13
276,image6562,1
277,image59834,13
278,image72408,4
279,image60069,2
280,image30590,11
281,image41980,0
282,image50712,11
283,image31903,7
284,image62609,17
285,image40513,12
286,image52172,4
287,image38625,12
288,image1,2
289,image57754,13
290,image45335,11
291,image22868,13
292,image1524,12
293,image63303,3
294,image53478,0
295,image78844,13
296,image77356,8
297,image7110,3
298,image23583,0
299,image29056,14
300,image43701,8
301,image51360,12
302,image60111,4
303,image72570,0
304,image18227,0
305,image25956,12
306,image44747,9
307,image80081,13
308,image62771,2
309,image70310,16
310,image60888,16
311,image75536,0
312,image5770,16
313,image66535,17
314,image20781,5
315,image38635,8
316,image71772,17
317,image22878,2
318,image41009,16
319,image78854,2
320,image57744,12
321,image7078,0
322,image55124,13
323,image19645,15
324,image3354,4
325,image61573,11
326,image43669,0
327,image51208,5
328,image9681,5
329,image10963,5
330,image60079,17
331,image72418,0
332,image59824,7
333,image41990,13
334,image42363,17
335,image780,3
336,image32298,0
337,image10182,11
338,image7899,8
339,image80091,3
340,image60898,0
341,image33792,14
342,image22900,2
343,image39247,8
344,image41171,7
345,image23593,4
346,image29046,3
347,image65727,17
348,image77346,17
349,image25946,11
350,image46137,11
351,image22099,7
352,image2726,11
353,image60101,11
354,image50867,3
355,image53294,3
356,image21477,12
357,image76851,7
358,image80715,17
359,image24251,15
360,image10606,13
361,image68530,16
362,image70484,16
363,image19920,5
364,image8577,17
